prefix	content	marker	group	section	subsection	subsubsection	title	section_tag	image_url	context_mask	chunk_summary	group_summary	section_summary
	Complete loss of steering control is a dangerous situation, alert crew and take immediate action to prevent collision, capsizing, or ejection of crew. Failure to comply may result in injury and or death to personnel.	-1	856	3	33	0		40		0	Complete loss of steering control is a dangerous situation, alert crew and take immediate action to prevent collision, capsizing, or ejection of crew. Failure to comply may result in injury and or death to personnel.	Complete loss of steering control is a dangerous situation, alert crew and take immediate action to prevent collision, capsizing, or ejection of crew. Failure to comply may result in injury and or death to personnel.	
	WARNING	-1	857	3	33	0		40		1	WARNING		
	Ensure all personnel in the vicinity and operating the outboard engine wear personal protective equipment such as hearing protection when engine is being operated a to prevent against potential noise hazards. Failure to comply may result in injury to personnel.	-1	858	3	33	0		40		0	Ensure all personnel in the vicinity and operating the outboard engine wear personal protective equipment such as hearing protection when engine is being operated a to prevent against potential noise hazards. Failure to comply may result in injury to personnel.	Ensure all personnel in the vicinity and operating the outboard engine wear personal protective equipment such as hearing protection when engine is being operated a to prevent against potential noise hazards. Failure to comply may result in injury to personnel.	
	WARNING	-1	859	3	33	0		40		1	WARNING		
	Always use the emergency stop lanyard when operating the engines to prevent runaway boat. Keep emergency stop lanyard free from obstructions and entanglements. Failure to comply may result in damage to equipment or injury to personnel.	-1	860	3	33	0		40		0	Always use the emergency stop lanyard when operating the engines to prevent runaway boat. Keep emergency stop lanyard free from obstructions and entanglements. Failure to comply may result in damage to equipment or injury to personnel.	Always use the emergency stop lanyard when operating the engines to prevent runaway boat. Keep emergency stop lanyard free from obstructions and entanglements. Failure to comply may result in damage to equipment or injury to personnel.	
	WARNING	-1	861	3	33	0		40		1	WARNING		
	Ensure personnel wear PFDs at all times during operation of boat in water. Failure to comply may result in injury or death to personnel.	-1	862	3	33	0		40		0	Ensure personnel wear PFDs at all times during operation of boat in water. Failure to comply may result in injury or death to personnel.	Ensure personnel wear PFDs at all times during operation of boat in water. Failure to comply may result in injury or death to personnel.	
1.	Safely reduce throttle until engine reaches idle speed (WP 0010).	2	863	3	33	0		40		0	Safely reduce throttle until engine reaches idle speed (WP 0010).	Safely reduce throttle until engine reaches idle speed (WP 0010). Shut down engines (WP 0025). Anchor boat (WP 0022). Radio for assistance (WP 0019).	
2.	Shut down engines (WP 0025).	2	863	3	33	0		40		0	Shut down engines (WP 0025).		
3.	Anchor boat (WP 0022).	2	863	3	33	0		40		0	Anchor boat (WP 0022).		
4.	Radio for assistance (WP 0019).	2	863	3	33	0		40		0	Radio for assistance (WP 0019).		
	END OF WORK PACKAGE	-1	864	3	33	0		40		1	END OF WORK PACKAGE		
	0036-1/blank	-1	864	3	33	0		40		1	0036-1/blank		
	OPERATOR INSTRUCTIONS	-1	865	3	33	0		40		1	OPERATOR INSTRUCTIONS		
	OPERATION UNDER UNUSUAL CONDITIONS MAN OVERBOARD	-1	866	3	34	0	OPERATION UNDER UNUSUAL CONDITIONS MAN OVERBOARD	41		0	OPERATION UNDER UNUSUAL CONDITIONS MAN OVERBOARD		"If there is an immediate danger to life, lift cover and hold down ""DISTRESS BUTTON"" for three seconds. Use the emergency stop-lanyard when operating the engines to prevent runaway boat from running away ashore unless there is an immediate danger to life entanglement involving mooring lines or propellers... And keep emergency stop lane free from obstructions and entanglements! Ensure personnel wear PFD'd at all times during operation of boat in water – failure may result"
	INITIAL SETUP:	-1	867	3	34	0		41		1	INITIAL SETUP:		
	Tools and Special Tools Ring Buoy, Lifesaving (WP 0062, Table 2, Item	-1	868	3	34	0		41		0	Tools and Special Tools Ring Buoy, Lifesaving (WP 0062, Table 2, Item	Tools and Special Tools Ring Buoy, Lifesaving (WP 0062, Table 2, Item Equipment Condition Boat underway (WP 0010)	
28)	Life, Marker Distress (WP 0062, Table 2, Item 20) Hook, Boat (WP 0062, Table 2, Item 15)	2	868	3	34	0		41		1	Life, Marker Distress (WP 0062, Table 2, Item 20) Hook, Boat (WP 0062, Table 2, Item 15)		
	Personnel Required Diver 12D Assistant	-1	868	3	34	0		41		1	Personnel Required Diver 12D Assistant		
	Equipment Condition Boat underway (WP 0010)	-1	868	3	34	0		41		0	Equipment Condition Boat underway (WP 0010)		
	Emergency Procedures During Man Overboard	-1	869	3	34	0		41		1	Emergency Procedures During Man Overboard		
	WARNING	-1	869	3	34	0		41		1	WARNING		
•	Underwater dangers, hypothermia, and drowning should all be considered.	1	870	3	34	0		41		0	Underwater dangers, hypothermia, and drowning should all be considered.	Underwater dangers, hypothermia, and drowning should all be considered. Avoid entanglement with boat mooring lines and propellers. Failure to comply may result in injury and or death to personnel.	
•	Avoid entanglement with boat mooring lines and propellers.	1	870	3	34	0		41		0	Avoid entanglement with boat mooring lines and propellers.		
•	Failure to comply may result in injury and or death to personnel.	1	870	3	34	0		41		0	Failure to comply may result in injury and or death to personnel.		
	WARNING	-1	871	3	34	0		41		1	WARNING		
	Always use the emergency stop lanyard when operating the engines to prevent runaway boat. Keep emergency stop lanyard free from obstructions and entanglements. Failure to comply may result in damage to equipment or injury to personnel.	-1	872	3	34	0		41		0	Always use the emergency stop lanyard when operating the engines to prevent runaway boat. Keep emergency stop lanyard free from obstructions and entanglements. Failure to comply may result in damage to equipment or injury to personnel.	Always use the emergency stop lanyard when operating the engines to prevent runaway boat. Keep emergency stop lanyard free from obstructions and entanglements. Failure to comply may result in damage to equipment or injury to personnel.	
	WARNING	-1	873	3	34	0		41		1	WARNING		
	Ensure personnel wear PFDs at all times during operation of boat in water. Failure to comply may result in injury or death to personnel.	-1	874	3	34	0		41		0	Ensure personnel wear PFDs at all times during operation of boat in water. Failure to comply may result in injury or death to personnel.	Ensure personnel wear PFDs at all times during operation of boat in water. Failure to comply may result in injury or death to personnel.	
	Emergency Procedures During Man Overboard - Continued	-1	875	3	34	0		41		1	Emergency Procedures During Man Overboard - Continued		
1.	Shout “MAN OVERBOARD”.	2	876	3	34	0		41		1	Shout “MAN OVERBOARD”.	Direct assistant(s) to keep lookout and point at person in water. Throw life ring and buoy light toward person in water.	
2.	Direct assistant(s) to keep lookout and point at person in water.	2	876	3	34	0		41		0	Direct assistant(s) to keep lookout and point at person in water.		
3.	Throw life ring and buoy light toward person in water.	2	876	3	34	0		41		0	Throw life ring and buoy light toward person in water.		
	NOTE	-1	877	3	34	0		41		1	NOTE		
•	“MOB” information is latitude, longitude, distance to MOB, estimated time of arrival to MOB, and water depth on PLOTTER and RADAR. A yellow line connects MOB marker and current boat location.	1	878	3	34	0		41		0	“MOB” information is latitude, longitude, distance to MOB, estimated time of arrival to MOB, and water depth on PLOTTER and RADAR. A yellow line connects MOB marker and current boat location.	“MOB” information is latitude, longitude, distance to MOB, estimated time of arrival to MOB, and water depth on PLOTTER and RADAR. A yellow line connects MOB marker and current boat location. “MOB” message flashes in status bar and alarm sounds, indicates “MOB” activated.	
•	“MOB” message flashes in status bar and alarm sounds, indicates “MOB” activated.	1	878	3	34	0		41		0	“MOB” message flashes in status bar and alarm sounds, indicates “MOB” activated.		
	Emergency Procedures During Man Overboard - Continued	-1	879	3	34	0		41		1	Emergency Procedures During Man Overboard - Continued		
4.	Using multifunction display, tap “MOB” icon (Figure 1, Item 1) on the functions list menu. Figure 1. MOB Function.	2	880	3	34	0		41	data/dod/rib_TM/images/img0251.jpg	0	Using multifunction display, tap “MOB” icon (Figure 1, Item 1) on the functions list menu. Figure 1. MOB Function.	Using multifunction display, tap “MOB” icon (Figure 1, Item 1) on the functions list menu. Figure 1. MOB Function. Maneuver boat to recover person and use boat hook as extension to assist recovery of person in water. Monitor VHF channel 16. If unable to locate or recover person overboard, press microphone button and broadcast emergency assistance needed. If there is an immediate danger to life, lift cover (Figure 2, Item 1) on command microphone and hold down “DISTRESS BUTTON” for three seconds to transmit a distress call.	
5.	Maneuver boat to recover person and use boat hook as extension to assist recovery of person in water.	2	880	3	34	0		41		0	Maneuver boat to recover person and use boat hook as extension to assist recovery of person in water.		
6.	Monitor VHF channel 16. If unable to locate or recover person overboard, press microphone button and broadcast emergency assistance needed.	2	880	3	34	0		41		0	Monitor VHF channel 16. If unable to locate or recover person overboard, press microphone button and broadcast emergency assistance needed.		
7.	If there is an immediate danger to life, lift cover (Figure 2, Item 1) on command microphone and hold down “DISTRESS BUTTON” for three seconds to transmit a distress call.	2	880	3	34	0		41		0	If there is an immediate danger to life, lift cover (Figure 2, Item 1) on command microphone and hold down “DISTRESS BUTTON” for three seconds to transmit a distress call.		
	Figure 2. Command Microphone Distress Button.	-1	881	3	34	0		41	data/dod/rib_TM/images/img0252.jpg	1	Figure 2. Command Microphone Distress Button.		
	END OF WORK PACKAGE	-1	881	3	34	0		41		1	END OF WORK PACKAGE		
	0037-3/blank	-1	881	3	34	0		41		1	0037-3/blank		
	OPERATOR INSTRUCTIONS	-1	882	3	34	0		41		1	OPERATOR INSTRUCTIONS		
	OPERATION UNDER UNUSUAL CONDITIONS UNUSUAL ENVIRONMENTS OR WEATHER	-1	883	3	35	0	OPERATION UNDER UNUSUAL CONDITIONS UNUSUAL ENVIRONMENTS OR WEATHER	42		0	OPERATION UNDER UNUSUAL CONDITIONS UNUSUAL ENVIRONMENTS OR WEATHER		Prolonged exposure to rain, wind and open water can quickly reduce core body temperature - leading in hypothermia. Failure of this warning may result In weakness or dizziness seek medical attention immediately if you experience difficulty breathing. Refer to TB–MED 507 for proper work/rest,and water consumption cycle during extreme heat. Failure to comply may cause injury or death to personnel 'right away' use emergency stop lanyard when operating engines to prevent runaway boat & keep emergency stop lane free from obstructions and
	INITIAL SETUP:	-1	884	3	35	0		42		1	INITIAL SETUP:		
